location,location_type,country,province,county,city
Colombia-Boyaca-Ramiriqui,city,Colombia,Boyaca,Ramiriqui,Ramiriqui
Colombia-Boyaca-Raquira,city,Colombia,Boyaca,Raquira,Raquira
Colombia-Boyaca-Rondon,city,Colombia,Boyaca,Rondon,Rondon
Colombia-Boyaca-Saboya,city,Colombia,Boyaca,Saboya,Saboya
Colombia-Boyaca-Sachica,city,Colombia,Boyaca,Sachica,Sachica
Colombia-Boyaca-Samaca,city,Colombia,Boyaca,Samaca,Samaca
Colombia-Boyaca-San_Eduardo,city,Colombia,Boyaca,San Eduardo,San Eduardo
Colombia-Boyaca-San_Jose_De_Pare,city,Colombia,Boyaca,San Jose De Pare,San Jose De Pare
Colombia-Boyaca-San_Luis_De_Gaceno,city,Colombia,Boyaca,San Luis De Gaceno,San Luis De Gaceno
Colombia-Boyaca-San_Mateo,city,Colombia,Boyaca,San Mateo,San Mateo
Colombia-Boyaca-San_Miguel_De_Sema,city,Colombia,Boyaca,San Miguel De Sema,San Miguel De Sema
Colombia-Boyaca-San_Pablo_De_Borbur,city,Colombia,Boyaca,San Pablo De Borbur,San Pablo De Borbur
Colombia-Boyaca-Santana,city,Colombia,Boyaca,Santana,Santana
Colombia-Boyaca-Santa_Maria,city,Colombia,Boyaca,Santa Maria,Santa Maria
Colombia-Boyaca-Santa_Rosa_De_Viterbo,city,Colombia,Boyaca,Santa Rosa De Viterbo,Santa Rosa De Viterbo
Colombia-Boyaca-Santa_Sofia,city,Colombia,Boyaca,Santa Sofia,Santa Sofia
Colombia-Boyaca-Sativanorte,city,Colombia,Boyaca,Sativanorte,Sativanorte
Colombia-Boyaca-Sativasur,city,Colombia,Boyaca,Sativasur,Sativasur
Colombia-Boyaca-Siachoque,city,Colombia,Boyaca,Siachoque,Siachoque
Colombia-Boyaca-Soata,city,Colombia,Boyaca,Soata,Soata
Colombia-Boyaca-Socota,city,Colombia,Boyaca,Socota,Socota
Colombia-Boyaca-Socha,city,Colombia,Boyaca,Socha,Socha
