location,density_per_km
Colombia-Caldas-Filadelfia,57.02490234375
Colombia-Caldas-La_Dorada,135.54922485351562
Colombia-Caldas-La_Merced,44.361961364746094
Colombia-Caldas-Manzanares,102.74285888671875
Colombia-Caldas-Marmato,277.91455078125
Colombia-Caldas-Marquetalia,187.77847290039062
Colombia-Caldas-Marulanda,8.757612228393555
Colombia-Caldas-Neira,94.10636901855469
Colombia-Caldas-Norcasia,30.167184829711914
Colombia-Caldas-Pacora,46.091148376464844
Colombia-Caldas-Palestina,128.70855712890625
Colombia-Caldas-Pensilvania,58.24413299560547
Colombia-Caldas-Riosucio,192.26358032226562
Colombia-Caldas-Risaralda,20.683517456054688
Colombia-Caldas-Salamina,42.82763671875
Colombia-Caldas-Samana,33.77660369873047
Colombia-Caldas-San_Jose,116.93104553222656
Colombia-Caldas-Supia,253.67889404296875
Colombia-Caldas-Victoria,21.41326141357422
Colombia-Caldas-Villamaria,529.50390625
Colombia-Caldas-Viterbo,94.9873046875
Colombia-Caqueta-Florencia,91.65093994140625
Colombia-Caqueta-Albania,65.84765625
Colombia-Caqueta-Belen_De_Los_Andaquies,12.226371765136719
Colombia-Caqueta-Cartagena_Del_Chaira,3.1978578567504883
Colombia-Caqueta-Curillo,22.507667541503906
Colombia-Caqueta-El_Doncello,25.291563034057617
Colombia-Caqueta-El_Paujil,22.047117233276367
Colombia-Caqueta-La_Montanita,16.708717346191406
Colombia-Caqueta-Milan,85.94415283203125
Colombia-Caqueta-Morelia,18.98479461669922
Colombia-Caqueta-Puerto_Rico,10.08099365234375
Colombia-Caqueta-San_Jose_Del_Fragua,13.083183288574219
Colombia-Caqueta-San_Vicente_Del_Caguan,6.8502302169799805
Colombia-Caqueta-Solano,12.644247055053711
Colombia-Caqueta-Solita,12.51083755493164
Colombia-Caqueta-Valparaiso,69.23680877685547
Colombia-Cauca-Popayan,794.1865234375
Colombia-Cauca-Almaguer,112.57405090332031
Colombia-Cauca-Argelia,57.34016799926758
Colombia-Cauca-Balboa,81.27748107910156
Colombia-Cauca-Bolivar,31.51944923400879
Colombia-Cauca-Buenos_Aires,255.87738037109375
Colombia-Cauca-Cajibio,89.85438537597656
Colombia-Cauca-Caldono,120.23208618164062
Colombia-Cauca-Caloto,120.19901275634766
Colombia-Cauca-Corinto,138.30630493164062
Colombia-Cauca-El_Tambo,20.992656707763672
Colombia-Cauca-Florencia,91.65093994140625
Colombia-Cauca-Guachene,120.19902801513672
Colombia-Cauca-Guapi,14.487380981445312
Colombia-Cauca-Inza,46.180564880371094
Colombia-Cauca-Jambalo,109.16036987304688
Colombia-Cauca-La_Sierra,54.94586181640625
Colombia-Cauca-La_Vega,107.90977478027344
