location,country
Colombia-Cundinamarca-Chia,Colombia
Colombia-Cundinamarca-Chipaque,Colombia
Colombia-Cundinamarca-Choachi,Colombia
Colombia-Cundinamarca-Choconta,Colombia
Colombia-Cundinamarca-Cogua,Colombia
Colombia-Cundinamarca-Cota,Colombia
Colombia-Cundinamarca-Cucunuba,Colombia
Colombia-Cundinamarca-El_Colegio,Colombia
Colombia-Cundinamarca-El_Penon,Colombia
Colombia-Cundinamarca-El_Rosal,Colombia
Colombia-Cundinamarca-Facatativa,Colombia
Colombia-Cundinamarca-Fomeque,Colombia
Colombia-Cundinamarca-Fosca,Colombia
Colombia-Cundinamarca-Funza,Colombia
Colombia-Cundinamarca-Fuquene,Colombia
Colombia-Cundinamarca-Fusagasuga,Colombia
Colombia-Cundinamarca-Gachala,Colombia
Colombia-Cundinamarca-Gachancipa,Colombia
Colombia-Cundinamarca-Gacheta,Colombia
Colombia-Cundinamarca-Gama,Colombia
Colombia-Cundinamarca-Girardot,Colombia
Colombia-Cundinamarca-Granada,Colombia
Colombia-Cundinamarca-Guacheta,Colombia
Colombia-Cundinamarca-Guaduas,Colombia
Colombia-Cundinamarca-Guasca,Colombia
Colombia-Cundinamarca-Guataqui,Colombia
Colombia-Cundinamarca-Guatavita,Colombia
Colombia-Cundinamarca-Guayabal_De_Siquima,Colombia
Colombia-Cundinamarca-Guayabetal,Colombia
Colombia-Cundinamarca-Gutierrez,Colombia
Colombia-Cundinamarca-Jerusalen,Colombia
Colombia-Cundinamarca-Junin,Colombia
Colombia-Cundinamarca-La_Calera,Colombia
Colombia-Cundinamarca-La_Mesa,Colombia
Colombia-Cundinamarca-La_Palma,Colombia
Colombia-Cundinamarca-La_Pena,Colombia
Colombia-Cundinamarca-La_Vega,Colombia
Colombia-Cundinamarca-Lenguazaque,Colombia
Colombia-Cundinamarca-Macheta,Colombia
Colombia-Cundinamarca-Madrid,Colombia
Colombia-Cundinamarca-Manta,Colombia
Colombia-Cundinamarca-Medina,Colombia
Colombia-Cundinamarca-Mosquera,Colombia
Colombia-Cundinamarca-Narino,Colombia
Colombia-Cundinamarca-Nemocon,Colombia
Colombia-Cundinamarca-Nilo,Colombia
Colombia-Cundinamarca-Nimaima,Colombia
Colombia-Cundinamarca-Nocaima,Colombia
Colombia-Cundinamarca-Venecia,Colombia
Colombia-Cundinamarca-Pacho,Colombia
Colombia-Cundinamarca-Paime,Colombia
Colombia-Cundinamarca-Pandi,Colombia
Colombia-Cundinamarca-Paratebueno,Colombia
Colombia-Cundinamarca-Pasca,Colombia
Colombia-Cundinamarca-Puerto_Salgar,Colombia
Colombia-Cundinamarca-Puli,Colombia
Colombia-Cundinamarca-Quebradanegra,Colombia
Colombia-Cundinamarca-Quetame,Colombia
Colombia-Cundinamarca-Quipile,Colombia
Colombia-Cundinamarca-Apulo,Colombia
Colombia-Cundinamarca-Rafael_Reyes_Apulo,Colombia
Colombia-Cundinamarca-Ricaurte,Colombia
Colombia-Cundinamarca-San_Antonio_Del_Tequendama,Colombia
Colombia-Cundinamarca-San_Bernardo,Colombia
Colombia-Cundinamarca-San_Cayetano,Colombia
Colombia-Cundinamarca-San_Francisco,Colombia
Colombia-Cundinamarca-San_Juan_De_Rio_Seco,Colombia
Colombia-Cundinamarca-Sasaima,Colombia
Colombia-Cundinamarca-Sesquile,Colombia
Colombia-Cundinamarca-Sibate,Colombia
Colombia-Cundinamarca-Silvania,Colombia
Colombia-Cundinamarca-Simijaca,Colombia
Colombia-Cundinamarca-Soacha,Colombia
Colombia-Cundinamarca-Sopo,Colombia
Colombia-Cundinamarca-Subachoque,Colombia
Colombia-Cundinamarca-Suesca,Colombia
Colombia-Cundinamarca-Supata,Colombia
Colombia-Cundinamarca-Susa,Colombia
Colombia-Cundinamarca-Sutatausa,Colombia
Colombia-Cundinamarca-Tabio,Colombia
Colombia-Cundinamarca-Tausa,Colombia
Colombia-Cundinamarca-Tena,Colombia
Colombia-Cundinamarca-Tenjo,Colombia
Colombia-Cundinamarca-Tibacuy,Colombia
Colombia-Cundinamarca-Tibirita,Colombia
Colombia-Cundinamarca-Tocaima,Colombia
Colombia-Cundinamarca-Tocancipa,Colombia
Colombia-Cundinamarca-Topaipi,Colombia
Colombia-Cundinamarca-Ubala,Colombia
Colombia-Cundinamarca-Ubaque,Colombia
Colombia-Cundinamarca-Villa_De_San_Diego_De_Ubate,Colombia
Colombia-Cundinamarca-Une,Colombia
Colombia-Cundinamarca-Utica,Colombia
Colombia-Cundinamarca-Vergara,Colombia
Colombia-Cundinamarca-Viani,Colombia
Colombia-Cundinamarca-Villagomez,Colombia
Colombia-Cundinamarca-Villapinzon,Colombia
Colombia-Cundinamarca-Villeta,Colombia
Colombia-Cundinamarca-Viota,Colombia
Colombia-Cundinamarca-Yacopi,Colombia
Colombia-Cundinamarca-Zipacon,Colombia
Colombia-Cundinamarca-Zipaquira,Colombia
Colombia-Choco-Quibdo,Colombia
Colombia-Choco-Acandi,Colombia
Colombia-Choco-Alto_Baudo,Colombia
Colombia-Choco-Atrato,Colombia
